Property ID 	 Property Label 	 Frame ID 	 Frame Label 	 Score 	 Matching SourceP21	sex or gender	FN_SemanticPredicate_361	People	2.0	 ALIAS
P569	date of birth	FN_SemanticPredicate_709	Commemorative	1.0	 ALIAS
P54	member of sports team	FN_SemanticPredicate_647	Aggregate	1.0	 ALIAS
P241	military branch	FN_SemanticPredicate_94	Pattern	1.0	 ALIAS
P241	military branch	FN_SemanticPredicate_593	Creating	1.0	 ALIAS
P410	military rank	FN_SemanticPredicate_940	Assessing	1.0	 ALIAS
P410	military rank	FN_SemanticPredicate_314	Occupy_rank	1.0	 ALIAS
P410	military rank	FN_SemanticPredicate_436	Rank	1.0	 ALIAS
P607	conflict	FN_SemanticPredicate_185	Hostile_encounter	1.0	 ALIAS
P607	conflict	FN_SemanticPredicate_552	Compatibility	1.0	 ALIAS
P607	conflict	FN_SemanticPredicate_185	Hostile_encounter	4.0	 ALIAS
P22	father	FN_SemanticPredicate_689	Birth	1.0	 ALIAS
P22	father	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P22	father	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P25	mother	FN_SemanticPredicate_689	Birth	1.0	 ALIAS
P25	mother	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P25	mother	FN_SemanticPredicate_22	Kinship	2.0	 ALIAS
P25	mother	FN_SemanticPredicate_200	Volubility	1.0	 ALIAS
P7	brother	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P7	brother	FN_SemanticPredicate_738	Attention_getting	1.0	 ALIAS
P7	brother	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P9	sister	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P9	sister	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P26	spouse	FN_SemanticPredicate_304	Personal_relationship	1.0	 ALIAS
P26	spouse	FN_SemanticPredicate_304	Personal_relationship	3.0	 ALIAS
P26	spouse	FN_SemanticPredicate_733	Collaboration	2.0	 ALIAS
P26	spouse	FN_SemanticPredicate_519	Frugality	1.0	 ALIAS
P451	cohabitant	FN_SemanticPredicate_304	Personal_relationship	6.0	 ALIAS
P451	cohabitant	FN_SemanticPredicate_733	Collaboration	2.0	 ALIAS
P40	child	FN_SemanticPredicate_875	People_by_age	1.0	 ALIAS
P40	child	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P40	child	FN_SemanticPredicate_22	Kinship	3.0	 ALIAS
P40	child	FN_SemanticPredicate_875	People_by_age	1.0	 ALIAS
P40	child	FN_SemanticPredicate_689	Birth	1.0	 ALIAS
P40	child	FN_SemanticPredicate_911	Prevarication	1.0	 ALIAS
P40	child	FN_SemanticPredicate_738	Attention_getting	1.0	 ALIAS
P43	stepfather	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P44	stepmother	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
P1038	relative	FN_SemanticPredicate_22	Kinship	1.0	 ALIAS
